class_uri,class_label,dataset,count
http://schema.org/AdministrativeArea,AdministrativeArea,yago,84030
http://schema.org/Airline,Airline,yago,4216
http://schema.org/Airport,Airport,yago,11292
http://schema.org/BodyOfWater,BodyOfWater,yago,317
http://schema.org/Book,Book,yago,3283
http://schema.org/City,City,yago,6129
http://schema.org/Continent,Continent,yago,11
http://schema.org/Corporation,Corporation,yago,47131
http://schema.org/Country,Country,yago,17
http://schema.org/CreativeWork,CreativeWork,yago,295
http://schema.org/EducationalOrganization,EducationalOrganization,yago,185
http://schema.org/Event,Event,yago,5370
http://schema.org/Landform,Landform,yago,918
http://schema.org/Language,Language,yago,503
http://schema.org/Movie,Movie,yago,141786
http://schema.org/MusicComposition,MusicComposition,yago,7
http://schema.org/MusicGroup,MusicGroup,yago,1290
http://schema.org/Newspaper,Newspaper,yago,7516
http://schema.org/Organization,Organization,yago,21536
http://schema.org/PerformingGroup,PerformingGroup,yago,13
http://schema.org/Person,Person,yago,134469
http://schema.org/Product,Product,yago,82
http://schema.org/Taxon,Taxon,yago,435809
http://schema.org/TVSeries,TVSeries,yago,37096
http://yago-knowledge.org/resource/AstronomicalObject,AstronomicalObject,yago,37
http://yago-knowledge.org/resource/Award,Award,yago,8956
http://yago-knowledge.org/resource/BeliefSystem,BeliefSystem,yago,3
http://yago-knowledge.org/resource/Creator,Creator,yago,4
http://yago-knowledge.org/resource/Election,Election,yago,10714
http://yago-knowledge.org/resource/FictionalEntity,FictionalEntity,yago,85
http://yago-knowledge.org/resource/Gender,Gender,yago,15
http://yago-knowledge.org/resource/HumanMadeGeographicalEntity,HumanMadeGeographicalEntity,yago,5872
http://yago-knowledge.org/resource/Politician,Politician,yago,257979
http://yago-knowledge.org/resource/SportsPerson,SportsPerson,yago,56
http://yago-knowledge.org/resource/Way,Way,yago,466
http://yago-knowledge.org/resource/Worker,Worker,yago,21
